Type,Part Number,Brand,Model,Rank,Benchmark,Samples,URL
HDD,none,Hitachi,HDT721016SLA380 160GB,481,42,1339,https://hdd.userbenchmark.com/SpeedTest/10627/Hitachi-HDT721016SLA380
HDD,none,Hitachi,HDP72505 500GB,482,41.9,204,https://hdd.userbenchmark.com/SpeedTest/5536/Hitachi-HDP72505
HDD,none,WD,WD8088AADS-00M2B0 809GB,483,41.8,358,https://hdd.userbenchmark.com/SpeedTest/10079/WDC-WD8088AADS-00M2B0
HDD,none,Toshiba,MK2561GSYN 250GB,485,41.7,1076,https://hdd.userbenchmark.com/SpeedTest/3299/TOSHIBA-MK2561GSYN
HDD,none,Samsung,HN-M101MBB 1TB,487,41.7,1575,https://hdd.userbenchmark.com/SpeedTest/2830/SAMSUNG-HN-M101MBB
HDD,none,Maxtor,STM3250310AS 250GB,488,41.6,6166,https://hdd.userbenchmark.com/SpeedTest/1239/MAXTOR-STM3250310AS
HDD,none,Seagate,ST500LM012 HN-M500MBB 500GB,489,41.6,19141,https://hdd.userbenchmark.com/SpeedTest/2104/ST500LM012-HN-M500MBB
HDD,none,Samsung,HM100UI 1TB,492,41.4,441,https://hdd.userbenchmark.com/SpeedTest/5426/SAMSUNG-HM100UI
HDD,none,Hitachi,HTS545050A7E380 500GB,494,41.2,25993,https://hdd.userbenchmark.com/SpeedTest/664/Hitachi-HTS545050A7E380
HDD,none,Toshiba,MQ01ABF032 320GB,495,41.2,1702,https://hdd.userbenchmark.com/SpeedTest/5425/TOSHIBA-MQ01ABF032
HDD,none,WD,WD10EVDS-63N5B1 1TB,496,41.1,1237,https://hdd.userbenchmark.com/SpeedTest/4828/WDC-WD10EVDS-63N5B1
HDD,none,Toshiba,MK5061GSYN 500GB,497,41,3387,https://hdd.userbenchmark.com/SpeedTest/2032/TOSHIBA-MK5061GSYN
HDD,none,Seagate,ST640LM001 HN-M640MBB 640GB,499,40.9,491,https://hdd.userbenchmark.com/SpeedTest/2212/ST640LM001-HN-M640MBB
HDD,none,Seagate,ST3250310AS 250GB,500,40.7,15051,https://hdd.userbenchmark.com/SpeedTest/205/ST3250310AS
HDD,none,WD,WD10EAVS-00D7B1 1TB,501,40.6,12988,https://hdd.userbenchmark.com/SpeedTest/256/WDC-WD10EAVS-00D7B1
HDD,none,,WL640GSA872 640GB,503,40.4,10,https://hdd.userbenchmark.com/SpeedTest/9895/WL640GSA872
HDD,none,WD,WD10EVCS-63E0B0 1TB,504,40.4,170,https://hdd.userbenchmark.com/SpeedTest/1803/WDC-WD10EVCS-63E0B0
HDD,none,Excelstor,Technology J9250S 250GB,506,40.3,745,https://hdd.userbenchmark.com/SpeedTest/5045/ExcelStor-Technology-J9250S
HDD,none,Hitachi,HDP725050GLA 500GB,507,40.2,727,https://hdd.userbenchmark.com/SpeedTest/4070/Hitachi-HDP725050GLA
HDD,none,WD,WD2500AVJS-63B6A0 250GB,508,40.2,760,https://hdd.userbenchmark.com/SpeedTest/11610/WDC-WD2500AVJS-63B6A0
HDD,none,Samsung,HD251HJ 250GB,509,40.2,1363,https://hdd.userbenchmark.com/SpeedTest/615/SAMSUNG-HD251HJ
HDD,none,Toshiba,MK7559GSXP 750GB,510,40.1,2421,https://hdd.userbenchmark.com/SpeedTest/3733/TOSHIBA-MK7559GSXP
HDD,none,Hitachi,HTS545050A7E680 500GB,511,40.1,26293,https://hdd.userbenchmark.com/SpeedTest/2870/HGST-HTS545050A7E680
